Name,Points,Assists,FGA,FG,FTAs,FTs,Minutes,3s attempts,3s,turnovers,2s attempts,2s,usage,Appear_In_NBA,Year
Patrick Matthews,0,1,1,0,0,0,11,0,0,0,1,0,4.8,No,2012
Cameron Ayers,1526,220,1205,530,319,265,3985,488,201,144,717,329,20.7,No,2012
Joe Willman,1162,154,1013,504,188,153,3232,10,1,152,1003,503,21.2,No,2012
Bryson Johnson,1384,200,1022,401,319,259,3690,812,323,137,210,78,19.3,No,2012
Bryan Cohen,1102,313,1003,370,320,225,3829,400,137,288,603,233,19.9,No,2012
Brian Fitzpatrick,530,49,373,206,152,111,1589,16,7,98,357,199,18.7,No,2012
Ben Brackney,342,28,268,109,59,52,1065,163,72,40,105,37,17.3,No,2012
Steven Kaspar,532,413,442,181,252,144,2610,90,26,205,352,155,16.1,No,2012
Ryan Hill,250,166,209,77,130,84,1729,38,12,126,171,65,12.6,No,2012
Joshea Singleton,223,26,184,71,100,65,670,58,16,59,126,55,22.6,No,2012
Enoch Andoh,186,4,154,67,75,52,679,0,0,63,154,67,19.3,No,2012
Colin Klebon,101,11,89,38,37,24,327,2,1,20,87,37,20.8,No,2012
Cory Starkey,179,46,150,74,50,31,828,0,0,52,150,74,14.8,No,2012
Probese Leo,14,1,14,6,7,2,114,0,0,8,14,6,11.8,No,2012
Mitchell Watt,1061,160,796,415,323,220,2495,34,11,224,762,404,24.3,No,2012
Javon McCrea,2004,249,1386,798,653,407,3473,4,1,309,1382,797,29.4,No,2012
Zach Filzen,1155,103,946,394,122,97,2733,671,270,140,275,124,21,No,2012
Titus Robinson,681,79,447,220,355,234,2006,19,7,195,428,213,19.9,No,2012
Dave Barnett,469,112,431,180,104,52,1985,176,57,126,255,123,15.3,No,2012
Tony Watson II,609,204,450,185,125,107,2057,333,132,110,117,53,15.4,No,2012
Jarod Oldham,562,409,497,182,234,156,2558,168,42,235,329,140,16.6,No,2012
Auraum Nuiriankh,325,98,313,101,102,74,1525,186,49,104,127,52,15.7,No,2012
Cameron Downing,245,30,134,88,103,69,638,0,0,58,134,88,19.6,No,2012
Corey Raley-Ross,85,33,93,33,30,16,398,19,3,41,74,30,19,No,2012
Xavier Ford,533,42,428,190,217,134,1474,56,19,113,372,171,21.9,No,2012
Raphell Thomas-Edwards,59,14,56,19,18,11,388,33,10,32,23,9,13,No,2012
Richie Sebuharara,24,16,20,7,4,4,183,14,6,10,6,1,9.1,No,2012
Andrew Smith,1147,97,773,409,435,293,2968,112,36,133,661,373,19.6,No,2012
Khyle Marshall,1373,52,1055,572,437,227,3001,19,2,123,1036,570,24.4,No,2012
Chrishawn Hopkins,748,197,627,246,241,181,2309,227,75,189,400,171,21.6,No,2012
Ronald Nored,835,497,646,251,449,285,4111,183,48,329,463,203,15.4,No,2012
Roosevelt Jones,1533,464,1297,589,595,354,4422,4,1,322,1293,588,22.2,No,2012
Chase Stigall,421,94,454,139,51,33,1858,369,110,86,85,29,15.9,No,2012
Kameron Woods,804,148,623,289,329,214,3315,65,12,188,558,277,15.4,No,2012
Erik Fromm,455,20,428,163,117,73,1547,196,56,77,232,107,19.1,No,2012
Jackson Aldridge,213,63,203,63,92,63,912,94,24,78,109,39,18.6,No,2012
Andy Smeathers,185,18,183,58,32,26,490,145,43,34,38,15,25.4,No,2012
Garrett Butcher,166,19,188,67,35,20,857,43,12,29,145,55,14.7,No,2012
Alex Barlow,596,274,497,194,132,105,2931,290,103,146,207,91,12.7,No,2012
Elliott Kampen,6,1,6,1,4,3,72,5,1,3,1,0,7.9,No,2012
Emerson Kampen,4,6,7,2,0,0,81,1,0,5,6,2,7.8,No,2012
David Hanson,1267,166,1127,467,276,179,3324,480,154,138,647,313,22.5,No,2012
Amaurys Fermin,325,119,308,117,79,54,976,114,37,75,194,80,23.7,No,2012
Will Taylor,475,33,374,188,147,99,1217,2,0,76,372,188,22.7,No,2012
Chris Eversley,1218,143,1037,444,348,244,2761,290,86,139,747,358,27.1,No,2012
Dylan Royer,612,59,478,201,47,41,1722,380,169,56,98,32,18.1,No,2012
Drake U'u,428,132,400,143,181,109,1701,151,33,105,249,110,19.4,No,2012
Will Donahue,474,81,341,170,206,133,1696,7,1,110,334,169,17.5,No,2012
Jamal Johnson,444,300,390,134,186,129,2372,144,47,145,246,87,14.7,No,2012
Kyle Odister,764,128,691,266,75,56,2059,454,176,97,237,90,21.7,No,2012
Maliik Love,511,210,445,188,203,120,2567,49,15,133,396,173,14.6,No,2012
Matt Titchenal,88,8,91,32,18,9,300,45,15,13,46,17,20.6,No,2012
Jordan Lewis,343,72,300,138,73,51,1655,53,16,73,247,122,12.9,No,2012
Stephon Carter,1628,330,1348,571,660,451,3622,159,35,358,1189,536,27.8,No,2012
Issiah Grayson,869,307,596,276,262,209,2071,248,108,212,348,168,23.2,No,2012
Zach Lamb,424,70,344,156,94,70,1021,111,42,81,233,114,23.7,No,2012
Donald Johnson,484,43,387,183,101,77,1502,105,41,103,282,142,17.9,No,2012
Tyrone White,537,99,471,188,76,53,1611,294,108,103,177,80,19.4,No,2012
Mo Hughley,234,57,165,80,119,74,879,2,0,62,163,80,16.7,No,2012
Adam Young,460,80,448,162,125,85,1689,172,51,83,276,111,17.4,No,2012
Rashad Savage,342,34,265,135,124,72,1538,0,0,66,265,135,12.6,No,2012
Robert Hayes,130,12,93,39,43,27,228,62,25,15,31,14,28.3,No,2012
Andre Jackson,57,0,53,26,11,5,116,0,0,8,53,26,29.5,No,2012
Ivan Matip,40,5,48,14,14,7,231,27,5,10,21,9,14,No,2012
Kwai Pearson,13,3,10,5,4,2,58,1,1,6,9,4,15.9,No,2012
Kregg Jones,157,5,124,65,63,27,690,0,0,40,124,65,14.6,No,2012
D.J. Seeley,1147,194,846,373,344,260,2276,343,141,189,503,232,26.2,No,2012
Kwame Vaughn,1775,342,1246,556,640,508,3767,438,155,315,808,401,25,No,2012
Isiah Umipig,1797,311,1411,582,345,285,3789,887,348,272,524,234,24.9,No,2012
Omondi Amoke,564,54,418,209,263,146,1675,8,0,95,410,209,18.8,No,2012
Orane Chin,1041,170,812,371,322,220,2986,225,79,214,587,292,20.6,No,2012
Perry Webster,341,255,272,104,123,84,1494,130,49,98,142,55,14.4,No,2012
Andre Hardy,582,47,455,207,273,168,1645,0,0,125,455,207,21.6,No,2012
Sedric Martin,141,14,112,58,39,25,481,0,0,39,112,58,17.5,No,2012
Orlando Brown,175,28,126,56,60,43,705,53,20,49,73,36,14.5,No,2012
John Underwood,39,1,32,14,24,11,221,0,0,18,32,14,13.3,No,2012
Bernard Webb,16,0,11,8,1,0,33,0,0,5,11,8,24.1,No,2012
Chris Collins,120,41,107,41,74,38,602,5,0,40,102,41,15.5,No,2012
Cameron Glover,6,1,3,1,5,3,13,3,1,0,0,0,19.9,No,2012
Conway James,0,0,0,0,0,0,0,0,0,0,0,0,0,No,2012
Jordan Knox,43,19,34,16,7,3,201,21,8,8,13,8,11.4,No,2012
Stephan Hicks,1959,137,1338,651,737,599,3938,185,58,227,1153,593,24.1,No,2012
Josh Greene,1549,360,1167,455,472,411,3594,590,228,240,577,227,22.1,No,2012
Vinnie McGhee,1024,358,991,350,160,120,2946,607,204,227,384,146,21.1,No,2012
Stephen Maxwell,1748,67,1199,635,657,478,3704,0,0,219,1199,635,23.3,No,2012
Aqeel Quinn,772,172,683,250,203,154,2274,342,118,145,341,132,21,No,2012
John Hayward-Mayhew,151,8,137,48,68,47,610,20,8,38,117,40,16.5,No,2012
Ari Feldman,98,10,83,37,18,14,351,21,10,11,62,27,14,No,2012
Allan Guei,250,118,253,90,65,48,972,48,22,65,205,68,17,No,2012
Michael Lizarraga,369,46,289,136,155,97,1332,1,0,94,288,136,16.5,No,2012
Frankie Eteuati,97,18,89,38,40,18,538,15,3,59,74,35,15,No,2012
Davon Potts,44,8,42,17,8,8,165,15,2,6,27,15,15.1,No,2012
Allen Jiles IV,98,21,80,39,44,20,486,2,0,39,78,39,14.1,No,2012
Thomas Jacobs,378,35,289,142,128,90,1493,18,4,64,271,138,14.7,No,2012
Jordan Mitchell,28,3,21,9,17,10,297,0,0,19,21,9,7.8,No,2012
Justin Yeargin,2,2,3,1,0,0,7,0,0,0,3,1,20.6,No,2012
Ishmael Godfrey,0,2,0,0,0,0,9,0,0,0,0,0,0,No,2012
Lonnie Watson,40,11,42,14,7,5,217,24,7,5,18,7,10.9,No,2012
Josh Ritchart,1333,116,1003,473,224,153,3014,568,234,168,435,239,22.9,No,2012
