Name,Points,Assists,FGA,FG,FTAs,FTs,Minutes,3s attempts,3s,turnovers,2s attempts,2s,usage,Appear_In_NBA,Year
Chris Johnson,563,70,432,182,182,149,1309,130,50,85,302,132,23.9,Yes,2012
Maurice Harkless,497,47,427,193,139,94,1155,79,17,80,348,176,24.9,Yes,2012
Chasson Randle,2375,354,1775,760,684,551,4791,787,304,324,988,456,25.9,Yes,2012
Anthony Brown,1562,231,1211,518,410,308,4200,541,218,228,670,300,20.1,Yes,2012
Dwight Powell,1465,240,1110,515,557,402,3569,114,33,283,996,482,23.8,Yes,2012
Josh Huestis,1019,113,870,392,277,169,3376,207,66,125,663,326,17,Yes,2012
Willie Green,888,125,645,337,294,198,2282,65,16,136,580,321,20.8,Yes,2012
Kris Joseph,1476,208,1094,491,544,382,3725,338,112,217,756,379,21.9,Yes,2012
Dion Waiters,690,142,547,248,166,125,1445,198,69,78,349,179,25,Yes,2012
James Southerland,880,68,724,325,104,77,2089,413,153,66,311,172,20.4,Yes,2012
Fab Melo,311,29,229,132,85,47,1090,0,0,68,229,132,15.9,Yes,2012
Rakeem Christmas,1046,86,731,409,335,228,3126,1,0,162,730,409,17.4,Yes,2012
Michael Carter-Williams,544,345,452,180,209,142,1678,137,42,154,315,138,21.3,Yes,2012
Robert Covington,1748,145,1309,623,399,320,3536,431,182,275,878,441,25.5,Yes,2012
Kevin Murphy,2019,249,1594,706,567,416,3718,513,191,381,1081,515,30,Yes,2012
Jordan McRae,1521,209,1190,496,455,350,3088,522,179,225,668,317,27.8,Yes,2012
Jarnell Stokes,1129,129,776,411,489,307,2587,3,0,180,773,411,24.2,Yes,2012
Josh Richardson,1252,246,1005,458,314,238,3842,308,98,209,697,360,19,Yes,2012
Jason Smith,91,18,86,29,39,27,275,22,6,33,64,23,26,Yes,2012
Kevin Lynch,4,0,7,2,1,0,75,0,0,3,7,2,7.4,Yes,2012
Elston Turner,1310,207,1109,456,243,188,3194,561,210,167,548,246,24.3,Yes,2012
Khris Middleton,981,175,789,340,272,209,2263,287,92,173,502,248,25.5,Yes,2012
Julian Washburn,1526,274,1360,592,319,223,4448,349,119,213,1011,473,21.3,Yes,2012
Josh Davis,1305,176,1033,475,562,344,3675,30,11,229,1003,464,21.6,Yes,2012
Jordan Clarkson,1433,249,1075,473,487,392,2952,295,95,254,780,378,27.8,Yes,2012
Travis Wear,1052,85,843,425,228,182,2845,50,20,115,793,405,18.8,Yes,2012
David Wear,888,96,748,354,163,120,2832,142,60,120,606,294,16.8,Yes,2012
Norman Powell,1376,214,1090,503,347,259,3555,354,111,180,736,392,20.3,Yes,2012
Ryan Broekhoff,1591,246,1103,512,385,315,3642,618,252,186,485,260,21.5,Yes,2012
John Jenkins,1658,111,1102,516,374,320,2998,699,306,130,403,210,24.2,Yes,2012
Jeffery Taylor,1897,252,1378,665,652,452,3923,321,115,309,1057,550,26,Yes,2012
Festus Ezeli,934,18,587,330,469,274,2168,0,0,195,587,330,23.7,Yes,2012
Maalik Wayns,1191,323,919,379,400,339,2464,323,94,223,596,285,26.9,Yes,2012
Darrun Hilliard,1511,248,1125,491,428,320,3537,569,209,206,556,282,22.4,Yes,2012
Troy Daniels,913,48,764,297,87,68,2109,650,251,73,114,46,20.9,Yes,2012
Treveon Graham,1882,199,1431,618,645,446,3558,565,200,191,866,418,26.8,Yes,2012
Briante Weber,862,378,695,296,299,230,2965,146,40,186,549,256,17,Yes,2012
Erick Green,1742,326,1356,592,520,418,3648,414,140,178,942,452,25.3,Yes,2012
Jarell Eddie,1182,139,995,383,276,224,3176,526,192,183,469,191,21.7,Yes,2012
Dorian Finney-Smith,1429,256,1168,480,432,284,3834,511,185,240,657,295,21.9,Yes,2012
Mike Scott,1538,124,1122,585,454,352,3457,44,16,211,1078,569,24.1,Yes,2012
Joe Harris,1698,254,1276,568,414,299,4084,646,263,213,630,305,23.6,Yes,2012
Malcolm Brogdon,1809,335,1399,601,482,422,4157,507,185,207,892,416,25.3,Yes,2012
James Johnson,240,14,178,94,91,52,813,0,0,79,178,94,19.2,Yes,2012
Terrence Ross,847,82,700,317,127,97,1681,319,116,94,381,201,23.8,Yes,2012
Tony Wroten,559,130,447,198,264,154,1062,56,9,132,391,189,31.2,Yes,2012
